구분,시도,용도,차종,유종,일평균주행거리
524,경기,비사업용,승용차 일반형,휘발유,38.07250342
525,서울,비사업용,승용차 일반형,휘발유,6.36827957
526,충북,비사업용,승용차 일반형,휘발유,8.71473029
527,경기,비사업용,승용차 일반형,휘발유,5.836195509
528,서울,비사업용,승용차 일반형,기타,70.22207084
529,경남,비사업용,승용차 일반형,휘발유,34.59481583
530,서울,비사업용,승용차 일반형,휘발유,9.044260028
531,서울,비사업용,승용차 일반형,휘발유,20.29380054
532,서울,비사업용,승용차 일반형,휘발유,11.67121419
533,서울,비사업용,승용차 일반형,휘발유,27.50545263
534,서울,비사업용,승용차 일반형,휘발유,7.139410188
535,서울,비사업용,승용차 일반형,휘발유,9.818059299
536,서울,비사업용,승용차 일반형,휘발유,9.123505976
537,광주,비사업용,승용차 일반형,휘발유,24.34682861
538,서울,비사업용,승용차 일반형,휘발유,22.67011834
539,서울,비사업용,승용차 일반형,휘발유,16.74555404
540,경기,비사업용,승용차 일반형,휘발유,17.6263587
541,부산,비사업용,승용차 일반형,휘발유,64.62516383
542,경기,비사업용,승용차 일반형,휘발유,17.15646259
543,부산,비사업용,승용차 일반형,휘발유,11.71299871
544,서울,비사업용,승용차 일반형,휘발유,30.96839444
545,서울,비사업용,승용차 일반형,휘발유,28.61197917
546,서울,비사업용,승용차 일반형,휘발유,26.2172361
547,제주,비사업용,승용차 일반형,휘발유,6.434599156
548,경북,비사업용,승용차 일반형,휘발유,24.99001427
549,경북,비사업용,승용차 일반형,휘발유,10.72655218
550,충남,비사업용,승용차 일반형,휘발유,54.3170068
551,충남,비사업용,승용차 일반형,휘발유,14.13055556
552,인천,비사업용,승용차 일반형,휘발유,20.05826558
553,서울,비사업용,승용차 일반형,휘발유,8.200808625
554,서울,비사업용,승용차 일반형,휘발유,17.02335165
555,서울,비사업용,승용차 일반형,휘발유,34.80854016
556,인천,비사업용,승용차 일반형,휘발유,8.287598945
557,서울,비사업용,승용차 일반형,휘발유,38.59414697
558,경남,비사업용,승용차 일반형,휘발유,48.16163829
559,경기,비사업용,승용차 일반형,휘발유,38.26538988
560,서울,비사업용,승용차 일반형,휘발유,37.00832639
561,서울,비사업용,승용차 일반형,휘발유,20.85764623
562,경기,비사업용,승용차 일반형,휘발유,19.92827586
563,서울,비사업용,승용차 일반형,휘발유,12.61316872
564,경기,비사업용,승용차 일반형,휘발유,19.25933646
565,부산,비사업용,승용차 다목적형,휘발유,30.72160393
566,강원,비사업용,화물차 특수용도형,경유,0.47107438
567,인천,비사업용,화물차 특수용도형,경유,1.113043478
568,경기,비사업용,화물차 특수용도형,경유,0.17791411
569,인천,비사업용,화물차 특수용도형,경유,0.92746114
570,서울,비사업용,승용차 일반형,휘발유,16.99935733
571,대구,비사업용,승용차 일반형,휘발유,16.07436919
572,부산,비사업용,승용차 일반형,휘발유,42.88895907
573,서울,비사업용,승용차 일반형,휘발유,8.640957447
574,대전,비사업용,승용차 일반형,휘발유,50.31931669
575,전북,비사업용,승용차 일반형,휘발유,8.57260274
576,경기,비사업용,승용차 일반형,휘발유,46.50340136
577,경기,비사업용,승용차 일반형,휘발유,5.771345876
